"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 28 00:51:54 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","145","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Thu Sep 28 00:51:54 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","125","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Thu Sep 28 00:51:53 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","142","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Thu Sep 28 00:51:54 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","109","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Thu Sep 28 00:51:54 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","78","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Thu Sep 28 00:51:54 GMT 2023","Thu Sep 28 00:51:54 GMT 2023","109","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Thu Sep 28 00:51:52 GMT 2023","Thu Sep 28 00:51:53 GMT 2023","1719","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
