"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","79","Verify status code returned is expected","","Mon Apr 27 02:34:26 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","56","Verify amount of returned items is expected","","Mon Apr 27 02:34:26 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","87","Verify amount of returned items is expected","","Mon Apr 27 02:34:26 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","97","Verify amount of returned items is expected","","Mon Apr 27 02:34:26 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","94","Verify status code returned is expected","","Mon Apr 27 02:34:26 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1300","Verify status code returned is expected","","Mon Apr 27 02:34:24 UTC 2026","passed","Mon Apr 27 02:34:26 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
