"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","100","Verify status code returned is expected","","Thu Jul 17 01:27:59 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","127","Verify amount of returned items is expected","","Thu Jul 17 01:27:59 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","100","Verify amount of returned items is expected","","Thu Jul 17 01:27:59 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","138","Verify status code returned is expected","","Thu Jul 17 01:27:59 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","129","Verify amount of returned items is expected","","Thu Jul 17 01:27:59 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1310","Verify status code returned is expected","","Thu Jul 17 01:27:58 GMT 2025","passed","Thu Jul 17 01:27:59 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
