"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","80","Verify status code returned is expected","","Thu Jan 01 01:44:41 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","302","Verify status code returned is expected","","Thu Jan 01 01:44:41 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1293","Verify status code returned is expected","","Thu Jan 01 01:44:39 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","46","Verify amount of returned items is expected","","Thu Jan 01 01:44:41 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","90","Verify amount of returned items is expected","","Thu Jan 01 01:44:41 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","85","Verify amount of returned items is expected","","Thu Jan 01 01:44:41 UTC 2026","passed","Thu Jan 01 01:44:41 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
