"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","84","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","130","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","98","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","91","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","102","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Jan 22 01:06:44 GMT 2023","Sun Jan 22 01:06:44 GMT 2023","158","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Sun Jan 22 01:06:42 GMT 2023","Sun Jan 22 01:06:43 GMT 2023","1523","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
