"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","83","Verify amount of returned items is expected","","Fri Jan 17 01:07:33 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","59","Verify amount of returned items is expected","","Fri Jan 17 01:07:33 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","93","Verify amount of returned items is expected","","Fri Jan 17 01:07:33 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","86","Verify status code returned is expected","","Fri Jan 17 01:07:33 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1246","Verify status code returned is expected","","Fri Jan 17 01:07:31 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","79","Verify status code returned is expected","","Fri Jan 17 01:07:33 GMT 2025","passed","Fri Jan 17 01:07:33 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
