"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1294","Verify status code returned is expected","","Sat Jun 06 02:53:12 UTC 2026","passed","Sat Jun 06 02:53:13 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","79","Verify amount of returned items is expected","","Sat Jun 06 02:53:14 UTC 2026","passed","Sat Jun 06 02:53:14 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","87","Verify amount of returned items is expected","","Sat Jun 06 02:53:13 UTC 2026","passed","Sat Jun 06 02:53:13 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","107","Verify status code returned is expected","","Sat Jun 06 02:53:13 UTC 2026","passed","Sat Jun 06 02:53:13 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","101","Verify status code returned is expected","","Sat Jun 06 02:53:13 UTC 2026","passed","Sat Jun 06 02:53:14 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","111","Verify amount of returned items is expected","","Sat Jun 06 02:53:13 UTC 2026","passed","Sat Jun 06 02:53:13 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
