"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","109","Verify status code returned is expected","","Wed Jan 15 01:08:23 GMT 2025","passed","Wed Jan 15 01:08:23 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","77","Verify amount of returned items is expected","","Wed Jan 15 01:08:24 GMT 2025","passed","Wed Jan 15 01:08:24 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","106","Verify amount of returned items is expected","","Wed Jan 15 01:08:23 GMT 2025","passed","Wed Jan 15 01:08:23 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1343","Verify status code returned is expected","","Wed Jan 15 01:08:22 GMT 2025","passed","Wed Jan 15 01:08:23 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","102","Verify status code returned is expected","","Wed Jan 15 01:08:24 GMT 2025","passed","Wed Jan 15 01:08:24 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","104","Verify amount of returned items is expected","","Wed Jan 15 01:08:23 GMT 2025","passed","Wed Jan 15 01:08:24 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
