"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 00:55:22 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","114","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Sep 17 00:55:20 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","1290","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Sep 17 00:55:22 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","103","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Sep 17 00:55:22 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","106","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Sep 17 00:55:22 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","109","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Sep 17 00:55:22 GMT 2024","Tue Sep 17 00:55:22 GMT 2024","91","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
