"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","97","Verify status code returned is expected","","Wed Jun 25 01:24:06 GMT 2025","passed","Wed Jun 25 01:24:07 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1454","Verify status code returned is expected","","Wed Jun 25 01:24:05 GMT 2025","passed","Wed Jun 25 01:24:06 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","96","Verify amount of returned items is expected","","Wed Jun 25 01:24:07 GMT 2025","passed","Wed Jun 25 01:24:07 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","100","Verify amount of returned items is expected","","Wed Jun 25 01:24:06 GMT 2025","passed","Wed Jun 25 01:24:06 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","92","Verify status code returned is expected","","Wed Jun 25 01:24:07 GMT 2025","passed","Wed Jun 25 01:24:07 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","66","Verify amount of returned items is expected","","Wed Jun 25 01:24:07 GMT 2025","passed","Wed Jun 25 01:24:07 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
