"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","112","Verify amount of returned items is expected","","Fri May 08 02:44:29 UTC 2026","passed","Fri May 08 02:44:30 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","120","Verify amount of returned items is expected","","Fri May 08 02:44:30 UTC 2026","passed","Fri May 08 02:44:30 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","126","Verify status code returned is expected","","Fri May 08 02:44:30 UTC 2026","passed","Fri May 08 02:44:30 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1449","Verify status code returned is expected","","Fri May 08 02:44:28 UTC 2026","passed","Fri May 08 02:44:29 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","129","Verify status code returned is expected","","Fri May 08 02:44:30 UTC 2026","passed","Fri May 08 02:44:30 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","98","Verify amount of returned items is expected","","Fri May 08 02:44:30 UTC 2026","passed","Fri May 08 02:44:30 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
