"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","151","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","82","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","112","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","103","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Aug 06 00:55:54 GMT 2023","Sun Aug 06 00:55:55 GMT 2023","1609","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","157","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Aug 06 00:55:56 GMT 2023","Sun Aug 06 00:55:56 GMT 2023","138","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
