"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 11 01:16:16 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","1573","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Jun 11 01:16:18 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","115","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Jun 11 01:16:18 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","137","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Jun 11 01:16:18 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","115","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Sun Jun 11 01:16:18 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","142","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Sun Jun 11 01:16:19 GMT 2023","Sun Jun 11 01:16:19 GMT 2023","94","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Jun 11 01:16:18 GMT 2023","Sun Jun 11 01:16:18 GMT 2023","114","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
