"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","131","Verify amount of returned items is expected","","Mon Nov 10 01:23:25 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","127","Verify amount of returned items is expected","","Mon Nov 10 01:23:25 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","111","Verify status code returned is expected","","Mon Nov 10 01:23:25 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","182","Verify status code returned is expected","","Mon Nov 10 01:23:25 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","140","Verify amount of returned items is expected","","Mon Nov 10 01:23:25 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1327","Verify status code returned is expected","","Mon Nov 10 01:23:23 UTC 2025","passed","Mon Nov 10 01:23:25 UTC 2025","","Posts Endpoint","Verify status code returned is expected",""
