"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1384","Verify status code returned is expected","","Thu Nov 14 01:09:05 GMT 2024","passed","Thu Nov 14 01:09:06 GMT 2024","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","102","Verify amount of returned items is expected","","Thu Nov 14 01:09:07 GMT 2024","passed","Thu Nov 14 01:09:07 GMT 2024","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","92","Verify amount of returned items is expected","","Thu Nov 14 01:09:06 GMT 2024","passed","Thu Nov 14 01:09:06 GMT 2024","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","67","Verify amount of returned items is expected","","Thu Nov 14 01:09:07 GMT 2024","passed","Thu Nov 14 01:09:07 GMT 2024","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","99","Verify status code returned is expected","","Thu Nov 14 01:09:07 GMT 2024","passed","Thu Nov 14 01:09:07 GMT 2024","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","101","Verify status code returned is expected","","Thu Nov 14 01:09:06 GMT 2024","passed","Thu Nov 14 01:09:07 GMT 2024","","Todos Endpoint","Verify status code returned is expected",""
