"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 01:00:34 GMT 2023","Wed May 03 01:00:34 GMT 2023","132","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Wed May 03 01:00:34 GMT 2023","Wed May 03 01:00:34 GMT 2023","133","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Wed May 03 01:00:34 GMT 2023","Wed May 03 01:00:34 GMT 2023","196","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Wed May 03 01:00:34 GMT 2023","Wed May 03 01:00:34 GMT 2023","134","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Wed May 03 01:00:32 GMT 2023","Wed May 03 01:00:33 GMT 2023","1377","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Wed May 03 01:00:33 GMT 2023","Wed May 03 01:00:34 GMT 2023","188","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Wed May 03 01:00:33 GMT 2023","Wed May 03 01:00:33 GMT 2023","136","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
