"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","102","Verify amount of returned items is expected","","Tue Jan 28 01:07:57 GMT 2025","passed","Tue Jan 28 01:07:57 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","66","Verify amount of returned items is expected","","Tue Jan 28 01:07:58 GMT 2025","passed","Tue Jan 28 01:07:58 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","91","Verify amount of returned items is expected","","Tue Jan 28 01:07:57 GMT 2025","passed","Tue Jan 28 01:07:57 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","78","Verify status code returned is expected","","Tue Jan 28 01:07:57 GMT 2025","passed","Tue Jan 28 01:07:58 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1254","Verify status code returned is expected","","Tue Jan 28 01:07:56 GMT 2025","passed","Tue Jan 28 01:07:57 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","105","Verify status code returned is expected","","Tue Jan 28 01:07:57 GMT 2025","passed","Tue Jan 28 01:07:57 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
