"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","83","Verify status code returned is expected","","Thu Feb 05 01:54:41 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","104","Verify amount of returned items is expected","","Thu Feb 05 01:54:41 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","79","Verify amount of returned items is expected","","Thu Feb 05 01:54:41 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","109","Verify amount of returned items is expected","","Thu Feb 05 01:54:41 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","112","Verify status code returned is expected","","Thu Feb 05 01:54:41 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1357","Verify status code returned is expected","","Thu Feb 05 01:54:39 UTC 2026","passed","Thu Feb 05 01:54:41 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
