"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","61","Verify amount of returned items is expected","","Fri Aug 01 01:48:20 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","88","Verify amount of returned items is expected","","Fri Aug 01 01:48:20 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","102","Verify amount of returned items is expected","","Fri Aug 01 01:48:20 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","70","Verify status code returned is expected","","Fri Aug 01 01:48:20 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1255","Verify status code returned is expected","","Fri Aug 01 01:48:18 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","94","Verify status code returned is expected","","Fri Aug 01 01:48:20 GMT 2025","passed","Fri Aug 01 01:48:20 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
