"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","84","Verify status code returned is expected","","Sun Apr 05 02:12:03 UTC 2026","passed","Sun Apr 05 02:12:03 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1306","Verify status code returned is expected","","Sun Apr 05 02:12:01 UTC 2026","passed","Sun Apr 05 02:12:02 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","88","Verify status code returned is expected","","Sun Apr 05 02:12:03 UTC 2026","passed","Sun Apr 05 02:12:03 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","66","Verify amount of returned items is expected","","Sun Apr 05 02:12:03 UTC 2026","passed","Sun Apr 05 02:12:03 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","84","Verify amount of returned items is expected","","Sun Apr 05 02:12:02 UTC 2026","passed","Sun Apr 05 02:12:03 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","83","Verify amount of returned items is expected","","Sun Apr 05 02:12:03 UTC 2026","passed","Sun Apr 05 02:12:03 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
