"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","106","Verify amount of returned items is expected","","Mon Jan 20 02:32:06 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","99","Verify amount of returned items is expected","","Mon Jan 20 02:32:06 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1319","Verify status code returned is expected","","Mon Jan 20 02:32:04 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","103","Verify status code returned is expected","","Mon Jan 20 02:32:06 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","107","Verify status code returned is expected","","Mon Jan 20 02:32:06 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","77","Verify amount of returned items is expected","","Mon Jan 20 02:32:06 GMT 2025","passed","Mon Jan 20 02:32:06 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
