"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","109","Verify amount of returned items is expected","","Fri Jan 24 01:08:19 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1376","Verify status code returned is expected","","Fri Jan 24 01:08:17 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","75","Verify amount of returned items is expected","","Fri Jan 24 01:08:19 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","124","Verify amount of returned items is expected","","Fri Jan 24 01:08:19 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","119","Verify status code returned is expected","","Fri Jan 24 01:08:19 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","126","Verify status code returned is expected","","Fri Jan 24 01:08:19 GMT 2025","passed","Fri Jan 24 01:08:19 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
