"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","101","Verify status code returned is expected","","Tue Dec 16 01:25:55 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","115","Verify status code returned is expected","","Tue Dec 16 01:25:55 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1452","Verify status code returned is expected","","Tue Dec 16 01:25:53 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","90","Verify amount of returned items is expected","","Tue Dec 16 01:25:55 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","117","Verify amount of returned items is expected","","Tue Dec 16 01:25:55 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","132","Verify amount of returned items is expected","","Tue Dec 16 01:25:55 UTC 2025","passed","Tue Dec 16 01:25:55 UTC 2025","","Posts Endpoint","Verify amount of returned items is expected",""
