"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 24 00:57:52 GMT 2024","Sun Mar 24 00:57:52 GMT 2024","71","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Mar 24 00:57:51 GMT 2024","Sun Mar 24 00:57:51 GMT 2024","93","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Sun Mar 24 00:57:50 GMT 2024","Sun Mar 24 00:57:51 GMT 2024","1229","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Sun Mar 24 00:57:51 GMT 2024","Sun Mar 24 00:57:52 GMT 2024","66","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Mar 24 00:57:51 GMT 2024","Sun Mar 24 00:57:51 GMT 2024","97","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Sun Mar 24 00:57:51 GMT 2024","Sun Mar 24 00:57:51 GMT 2024","98","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Sun Mar 24 00:57:51 GMT 2024","Sun Mar 24 00:57:51 GMT 2024","87","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
