"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1328","Verify status code returned is expected","","Thu Jan 23 01:08:02 GMT 2025","passed","Thu Jan 23 01:08:03 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","116","Verify amount of returned items is expected","","Thu Jan 23 01:08:03 GMT 2025","passed","Thu Jan 23 01:08:03 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","117","Verify status code returned is expected","","Thu Jan 23 01:08:03 GMT 2025","passed","Thu Jan 23 01:08:03 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","111","Verify status code returned is expected","","Thu Jan 23 01:08:04 GMT 2025","passed","Thu Jan 23 01:08:04 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","92","Verify amount of returned items is expected","","Thu Jan 23 01:08:04 GMT 2025","passed","Thu Jan 23 01:08:04 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","104","Verify amount of returned items is expected","","Thu Jan 23 01:08:03 GMT 2025","passed","Thu Jan 23 01:08:04 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
