"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","109","Verify amount of returned items is expected","","Tue Jul 08 01:24:04 GMT 2025","passed","Tue Jul 08 01:24:04 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","70","Verify amount of returned items is expected","","Tue Jul 08 01:24:04 GMT 2025","passed","Tue Jul 08 01:24:04 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1291","Verify status code returned is expected","","Tue Jul 08 01:24:02 GMT 2025","passed","Tue Jul 08 01:24:03 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","113","Verify status code returned is expected","","Tue Jul 08 01:24:04 GMT 2025","passed","Tue Jul 08 01:24:04 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","84","Verify status code returned is expected","","Tue Jul 08 01:24:04 GMT 2025","passed","Tue Jul 08 01:24:04 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","94","Verify amount of returned items is expected","","Tue Jul 08 01:24:04 GMT 2025","passed","Tue Jul 08 01:24:04 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
